NumberInFamily,GEOID
1,42101008301
1,42101032100
1,42101008400
2,42101003300
1,42101006500
2,42101031200
4,42101039001
1,42101016901
1,42101011000
1,42101037700
6,42101015102
1,42101019900
1,42101011000
2,42101019100
2,42101026500
3,42101006700
1,42101003200
3,42101016100
1,42101034502
1,42101027700
3,42101029000
2,42101009000
2,42101031700
1,42101035601
3,42101038301
3,42101003100
1,42101033702
1,42101031300
3,42101024900
1,42101033101
5,42101011000
3,42101017100
1,42101006500
1,42101015600
1,42101014700
3,42101028400
4,42101032500
1,42101014600
1,42101035601
1,42101012100
2,42101032300
1,42101029800
1,42101017100
1,42101025200
2,42101028600
1,42101017900
2,42101010900
1,42101035701
3,42101025200
1,42101029900
3,42101008000
6,42101015101
2,42101029400
4,42101026600
1,42101016400
5,42101015700
5,42101016800
1,42101008301
2,42101039100
1,42101002500
1,42101039001
1,42101029800
1,42101011000
2,42101013900
5,42101024900
2,42101010800
3,42101037700
7,42101010200
2,42101007102
1,42101024100
1,42101030200
1,42101033701
1,42101032500
3,42101029900
3,42101019700
1,42101001500
1,42101017900
2,42101031101
1,42101028600
4,42101031200
1,42101025600
2,42101032500
2,42101035702
1,42101025200
3,42101010900
3,42101032300
4,
3,42101017500
1,42101010200
1,42101032100
1,42101001101
1,42101014100
1,42101036202
3,42101006700
2,42101029200
1,42101011900
1,42101024100
1,42101025200
1,42101029800
1,42101032100
4,42101020300
3,42101006500
1,42101014100
2,42101031800
4,42101029300
1,42101024700
1,42101028000
7,42101014900
2,42101031102
1,42101035800
1,42101027902
1,42101016500
1,42101030600
1,42101016800
1,42101029400
1,42101017500
1,42101035701
3,42101029300
2,42101028400
2,42101034400
1,42101012201
1,42101002500
1,42101028200
3,42101017201
1,42101006700
1,42101013900
1,42101008301
1,42101014201
1,42101010800
3,42101028300
1,42101033701
1,42101007800
1,42101002500
3,42101037700
1,42101030100
1,42101002702
1,42101003901
2,42101026600
4,42101029200
1,42101031000
3,42101032100
6,42101028400
1,42101017300
2,42101011100
1,42101028200
1,42101008000
1,42101028000
1,42101009000
1,42101026800
2,42101024200
4,42101009300
3,42101033000
4,42101012100
1,42101008301
3,42101009300
2,42101008200
1,42101011500
3,42101033000
2,42101017900
1,42101028000
1,42101029800
3,42101026700
3,42101032300
1,42101033000
2,42101001500
4,42101021400
2,42101003300
1,42101030000
2,42101003701
1,42101004103
1,42101024400
3,
3,42101014700
3,42101009600
4,42101008302
3,42101024500
1,42101020101
2,42101028400
4,42101008101
1,42101020101
1,42101006100
10,42101024300
1,42101031102
3,42101002500
2,42101006000
1,42101033701
2,42101008102
1,42101020101
2,42101039002
3,42101007300
1,42101003701
1,42101028200
2,42101003600
3,42101006300
3,42101006700
2,42101020400
6,42101016002
1,42101037700
1,42101008200
1,42101016702
1,42101036202
4,42101007102
1,42101010100
3,42101028000
3,42101007102
2,42101020400
1,42101015600
2,42101017201
3,42101008302
2,42101018802
1,42101011100
6,42101016100
9,42101010900
1,42101024600
2,42101033500
2,42101016702
3,42101027500
6,42101029800
3,42101008400
6,42101016701
1,42101008102
1,42101027902
1,42101013900
4,42101005500
1,42101036202
4,42101012100
2,42101035702
3,42101019000
1,42101026400
2,42101004104
1,42101008301
1,42101030100
1,42101033701
1,42101008500
2,42101030600
6,42101016701
1,42101007900
1,42101009200
1,42101011900
1,42101010400
2,42101010800
2,42101036302
4,42101010400
1,42101030100
1,42101032900
1,42101008200
2,42101003100
1,42101013300
3,42101026800
2,42101014700
1,42101002000
1,42101019100
2,42101033701
2,42101019000
1,42101001102
1,42101008500
1,42101039001
1,42101002000
1,42101032300
1,42101025200
2,42101030000
3,42101029900
3,42101010900
1,42101011900
4,42101011100
3,42101017100
1,42101013900
3,42101030000
4,42101017201
1,42101012201
1,42101024400
1,42101017701
1,42101008301
4,42101014400
3,42101032000
3,42101035701
3,42101011400
3,42101010800
1,42101027600
2,42101024300
1,42101029900
1,42101016901
1,42101026800
5,42101017900
2,42101037700
1,42101024300
1,42101009600
2,42101028300
2,42101003702
1,42101007800
4,42101029400
4,42101008302
1,42101038100
1,42101027902
1,42101027800
1,42101026100
2,42101008200
1,42101000901
4,42101017500
3,42101024700
4,42101005500
3,42101024400
4,42101023800
4,42101027700
1,42101032500
1,42101000401
1,42101030000
1,42101006000
5,42101028600
6,42101030000
2,42101010800
4,42101037700
3,42101003300
1,42101003300
1,42101008500
1,42101025400
1,42101001400
1,42101031900
3,42101027100
1,42101026900
3,42101039001
5,42101030100
3,42101010800
5,42101010200
1,42101020200
4,42101009500
1,42101033701
4,42101030000
1,42101024400
